target,v1,v2,v3,v4,v5,v6,v7,v8,sample_type
4.63,260.6,199,391.333333333333,371.733333333333,466.8,273.133333333333,742.066666666666,4047.73333333333,lab 1
5,263.2,194.6,393.666666666666,348.533333333333,401.8,220.066666666666,712,4673.46666666666,lab 1
4.91,247.266666666666,205.8,375.466666666666,354.866666666666,419,222.133333333333,677.2,4386.8,lab 1
4.77,257.944444444444,191.833333333333,368.722222222222,334.666666666666,417.222222222222,195.944444444444,678.555555555555,4588.77777777777,lab 1
4.89,258.2,195.733333333333,356.666666666666,333.333333333333,394.6,196,677.133333333333,4867.06666666666,lab 1
4.88,268.722222222222,193,364.944444444444,345.888888888888,405.444444444444,210.055555555555,650.666666666666,4493.94444444444,lab 1
4.55,255.866666666666,182.133333333333,359.466666666666,326.8,389.466666666666,191.866666666666,632.266666666666,4386.73333333333,lab 1
4.74,248.933333333333,203.933333333333,365.2,332.933333333333,390.933333333333,202.2,664,4646.2,lab 1
4.72,269,191.466666666666,381.2,353.2,403.533333333333,217.8,714.533333333333,4751.46666666666,lab 1
4.72,268.266666666666,178.8,370,342.466666666666,384.533333333333,204.733333333333,690.333333333333,4255.2,lab 1
4.69,266.857142857142,189.142857142857,383.428571428571,324.285714285714,401.285714285714,196.714285714285,666.071428571428,4643.78571428571,lab 1
4.79,227.285714285714,185.785714285714,377.357142857142,350.571428571428,398.357142857142,207.357142857142,682.571428571428,4756.28571428571,lab 1
4.85,245,186.285714285714,359.857142857142,320.571428571428,396.785714285714,204,633.357142857142,4383,lab 1
4.66,280.866666666666,197.4,374.666666666666,339.266666666666,407.866666666666,212.333333333333,716.266666666666,4624,lab 1
4.85,267.8125,184.5,362.5,320.8125,396.125,207.3125,641.6875,4270.75,lab 1
4.46,256.875,189.3125,387.9375,339.3125,409.875,213.4375,696.4375,4599.8125,lab 1
5,266.75,183.0625,368.6875,338.4375,397.6875,191.3125,669.25,4687.25,lab 1
4.65,237.6,188.4,386.4,342.4,413.466666666666,202.666666666666,680.4,4484.2,lab 1
5.26,266.533333333333,203,393.933333333333,358,428.4,219.666666666666,715.8,4848.13333333333,lab 1
4.78,279.6,181,370.866666666666,327.333333333333,400.933333333333,192.666666666666,679.066666666666,4656.53333333333,lab 1
4.67,279.866666666666,193.133333333333,387.266666666666,362.4,417.333333333333,215.333333333333,713.8,4606.46666666666,lab 1
5.09,248.9375,182.1875,359.875,315.625,389.5,199.5625,620.875,4658.9375,lab 1
4.86,273.333333333333,181.4,403.733333333333,354.533333333333,415.733333333333,214.6,726.2,4524.2,lab 1
5.07,260.6875,197.625,360.9375,339.125,395.5625,198.125,687.875,4724.375,lab 1
4.44,243.2,196.666666666666,393.6,356.333333333333,400,213,719.2,4689.33333333333,lab 1
4.66,251.8125,182.625,355.5625,332.5,382.5625,200.1875,659.6875,4189.625,lab 1
4.94,270,184.1875,356.125,330.375,399.9375,219.0625,679.75,3961.625,lab 1
4.86,280.8125,187.1875,361.375,328.9375,397.375,220.4375,669.5,4406.6875,lab 1
4.91,264.2,194.666666666666,390.133333333333,359.333333333333,414.533333333333,215.6,727.733333333333,4523.8,lab 1
5.26,250.875,181.9375,365.1875,321.5625,392.625,195.3125,650,4219.875,lab 1
4.92,260.5625,192.9375,384.75,337.8125,405.3125,214.9375,705.6875,4590.875,lab 1
4.94,286.466666666666,197.266666666666,389.533333333333,342.266666666666,413.733333333333,195.066666666666,704.2,4470.33333333333,lab 1
4.57,272.066666666666,181.066666666666,348.933333333333,313.733333333333,373.333333333333,201.133333333333,626.266666666666,4142.8,lab 1
4.91,286,216.75,435.3125,396.5625,466.125,244.3125,810.625,4834.1875,lab 1
4.7,281.666666666666,190.933333333333,364.066666666666,323.933333333333,385.333333333333,214.133333333333,662.733333333333,4437.86666666666,lab 1
4.85,265,192.5625,356.625,322.1875,407.3125,206.6875,686.4375,4453.9375,lab 1
4.65,264.933333333333,214.2,398.533333333333,363.066666666666,425.933333333333,214.8,753.933333333333,4824.93333333333,lab 1
4.65,279.8,200.2,355.333333333333,327.933333333333,395.866666666666,204.533333333333,650.666666666666,4551.66666666666,lab 1
5.02,281.066666666666,187.466666666666,376.6,335.8,392.866666666666,211.933333333333,664.733333333333,4795.46666666666,lab 1
4.86,282.733333333333,217.466666666666,397.8,378.2,454.466666666666,232.933333333333,778,4485.26666666666,lab 1
4.62,269.9375,200.875,414.125,384.8125,449.5,250.0625,758.875,4491.0625,lab 1
4.36,266.25,206.875,375,355.875,425.9375,229.625,732.6875,4692,lab 1
